"","year","wave","us_regular","east_coast_regular","new_england_regular","central_atlantic_regular","lower_atlantic_regular","gulf_coast_regular","fl_regular","ma_regular","ny_regular","tx_regular"
"127",1995,5,1.09766666666667,1.10766666666667,1.20188888888889,1.16622222222222,1.05944444444444,1.08133333333333,NA,NA,NA,NA
"128",1996,5,1.20311111111111,1.18344444444444,1.25811111111111,1.22344444444444,1.14866666666667,1.17366666666667,NA,NA,NA,NA
"129",1997,5,1.216,1.21077777777778,1.30655555555556,1.276,1.15811111111111,1.17155555555556,NA,NA,NA,NA
"130",1998,5,1.014,0.985875,1.036875,1.037875,0.94725,0.953625,NA,NA,NA,NA
"131",1999,5,1.249875,1.229,1.305,1.288375,1.180625,1.19625,NA,NA,NA,NA
"132",2000,5,1.54022222222222,1.50433333333333,1.59477777777778,1.56988888888889,1.45022222222222,1.44455555555556,NA,NA,1.62422222222222,1.435
"133",2001,5,1.407,1.33477777777778,1.40122222222222,1.38133333333333,1.28,1.29777777777778,NA,NA,1.46022222222222,1.29344444444444
"134",2002,5,1.41988888888889,1.39666666666667,1.44966666666667,1.44244444444444,1.34666666666667,1.35033333333333,NA,NA,1.529,1.35322222222222
"135",2003,5,1.62755555555556,1.61977777777778,1.72911111111111,1.70177777777778,1.52577777777778,1.48355555555556,1.57844444444444,1.73033333333333,1.80444444444444,1.465
"136",2004,5,1.934625,1.918125,1.950625,1.953,1.882375,1.828875,1.934625,1.926875,2.047125,1.815375
"137",2005,5,2.79966666666667,2.85633333333333,2.83266666666667,2.87766666666667,2.84744444444444,2.73844444444444,2.85022222222222,2.83644444444444,2.97577777777778,2.73388888888889
"138",2006,5,2.38255555555556,2.38166666666667,2.43277777777778,2.438,2.32455555555556,2.269,2.42,2.38088888888889,2.587,2.23666666666667
"139",2007,5,2.80311111111111,2.756,2.74566666666667,2.756,2.75877777777778,2.68677777777778,2.80333333333333,2.657,2.89,2.67411111111111
"140",2008,5,3.41311111111111,3.42477777777778,3.33611111111111,3.38366666666667,3.48177777777778,3.30933333333333,3.46344444444444,3.26244444444444,3.54844444444444,3.266
"141",2009,5,2.552625,2.50975,2.584,2.564375,2.44675,2.380125,2.489375,2.524375,2.75075,2.375875
"142",2010,5,2.75275,2.693375,2.742,2.714125,2.663,2.59975,2.7,2.67425,2.853125,2.5895
"143",2011,5,3.52055555555556,3.50622222222222,3.61255555555556,3.552,3.44022222222222,3.33411111111111,3.44155555555556,3.52733333333333,3.74688888888889,3.332
"144",2012,5,3.79133333333333,3.78055555555556,3.903,3.85588888888889,3.68811111111111,3.55144444444444,3.683,3.83955555555556,4.02677777777778,3.55311111111111
"145",2013,5,3.44855555555556,3.44133333333333,3.61777777777778,3.50544444444444,3.34055555555556,3.214,3.36588888888889,3.54211111111111,3.69988888888889,3.21888888888889
"146",2014,5,3.30144444444444,3.28955555555556,3.42,3.34377777777778,3.20966666666667,3.08377777777778,3.21522222222222,3.36,3.52277777777778,3.10111111111111
"147",2015,5,2.327625,2.20125,2.255375,2.270875,2.133125,2.03775,2.1235,2.207625,2.378,2.03575
"148",2016,5,2.23566666666667,2.20422222222222,2.22044444444444,2.24211111111111,2.17133333333333,2.01055555555556,2.16544444444444,2.17888888888889,2.28988888888889,1.99577777777778
"149",2017,5,2.56733333333333,2.585,2.65777777777778,2.66488888888889,2.50344444444444,2.36611111111111,2.53066666666667,2.66588888888889,2.668,2.38288888888889
"150",2018,5,2.84911111111111,2.78466666666667,2.85277777777778,2.90766666666667,2.68788888888889,2.57688888888889,2.73622222222222,2.83444444444444,2.90777777777778,2.56566666666667
"151",2019,5,2.60766666666667,2.48055555555556,2.54055555555556,2.616,2.37944444444444,2.27077777777778,2.39188888888889,2.56122222222222,2.63111111111111,2.26933333333333
