"state","variable","value"
"Alabama","2014",38.6
"Alaska","2014",33.7
"California","2014",36
"Connecticut","2014",40.7
"Delaware","2014",39.7
"Florida","2014",41.7
"Georgia","2014",36.2
"Hawaii","2014",38.6
"Louisiana","2014",36.2
"Maine","2014",44.1
"Maryland","2014",38.3
"Massachusetts","2014",39.4
"Mississippi","2014",36.7
"New Hampshire","2014",42.7
"New Jersey","2014",39.5
"New York","2014",38.3
"North Carolina","2014",38.3
"Oregon","2014",39.1
"Rhode Island","2014",39.9
"South Carolina","2014",38.8
"Texas","2014",34.2
"Virginia","2014",37.8
"Washington","2014",37.6
"United States","2015",37.8
"Alabama","2015",38.7
"Alaska","2015",33.9
"California","2015",36.1
"Connecticut","2015",40.8
"Delaware","2015",39.9
"Florida","2015",41.8
"Georgia","2015",36.3
"Hawaii","2015",38.6
"Louisiana","2015",36.3
"Maine","2015",44.4
"Maryland","2015",38.4
"Massachusetts","2015",30.4
"Mississippi","2015",36.9
"New Hampshire","2015",42.9
"New Jersey","2015",39.7
"New York","2015",38.4
"North Carolina","2015",38.4
"Oregon","2015",39.2
"Rhode Island","2015",39.9
"South Carolina","2015",39
"Texas","2015",34.3
"Virginia","2015",38
"Washington","2015",37.7
"United States","2016",37.9
"Alabama","2016",38.9
"Alaska","2016",34
"California","2016",36.4
"Connecticut","2016",40.9
"Delaware","2016",40.2
"Florida","2016",42
"Georgia","2016",36.5
"Hawaii","2016",38.8
"Louisiana","2016",36.6
"Maine","2016",44.6
"Maryland","2016",38.5
"Massachusetts","2016",39.4
"Mississippi","2016",37.1
"New Hampshire","2016",43
"New Jersey","2016",39.7
"New York","2016",38.6
"North Carolina","2016",38.6
"Oregon","2016",39.2
"Rhode Island","2016",39.9
"South Carolina","2016",39.2
"Texas","2016",34.5
"Virginia","2016",38.1
"Washington","2016",37.6
"United States","2017",38
"Alabama","2017",39
"Alaska","2017",34.3
"California","2017",36.6
"Connecticut","2017",40.9
"Delaware","2017",40.5
"Florida","2017",42.1
"Georgia","2017",36.7
"Hawaii","2017",39
"Louisiana","2017",36.9
"Maine","2017",44.8
"Maryland","2017",38.7
"Massachusetts","2017",39.4
"Mississippi","2017",37.4
"New Hampshire","2017",42.9
"New Jersey","2017",39.9
"New York","2017",38.8
"North Carolina","2017",38.7
"Oregon","2017",39.3
"Rhode Island","2017",40
"South Carolina","2017",39.4
"Texas","2017",34.6
"Virginia","2017",38.2
"Washington","2017",37.7
"United States","2018",NA
"Alabama","2018",39.2
"Alaska","2018",NA
"California","2018",NA
"Connecticut","2018",41
"Delaware","2018",40.8
"Florida","2018",42.2
"Georgia","2018",36.9
"Hawaii","2018",NA
"Louisiana","2018",37.2
"Maine","2018",44.9
"Maryland","2018",38.8
"Massachusetts","2018",39.4
"Mississippi","2018",37.7
"New Hampshire","2018",43
"New Jersey","2018",40
"New York","2018",39
"North Carolina","2018",38.9
"Oregon","2018",NA
"Rhode Island","2018",40
"South Carolina","2018",39.6
"Texas","2018",34.8
"Virginia","2018",38.4
"Washington","2018",NA
